Category,Category_binary,Rating,Reviews,Installs,Price
GAME,0,4.5,33,1000,0.0
SPORTS,1,4.1,459795,50000000,0.0
GAME,0,4.4,4396,100000,0.0
GAME,0,4.9,37302,500000,0.0
SPORTS,1,4.3,36490,1000000,0.0
GAME,0,4.5,6181640,100000000,0.0
SPORTS,1,2.7,3,100,0.0
GAME,0,4.5,100,1000,3.99
GAME,0,4.2,522466,10000000,0.0
SPORTS,1,4.6,251618,10000000,0.0
GAME,0,4.4,5566908,100000000,0.0
SPORTS,1,4.1,3405,100000,0.0
GAME,0,4.1,101,10000,0.0
GAME,0,4.4,524467,10000000,0.0
SPORTS,1,3.6,30,5000,0.0
GAME,0,4.2,360630,50000000,0.0
SPORTS,1,4.8,33,5000,0.0
SPORTS,1,3.5,43,10000,0.0
SPORTS,1,4.8,31665,1000000,0.0
GAME,0,4.4,32496,1000000,0.99
SPORTS,1,4.4,63650,1000000,0.0
SPORTS,1,4.6,28951,1000000,0.0
SPORTS,1,4.6,29673,1000000,0.0
SPORTS,1,1.8,5,1000,0.0
GAME,0,4.7,1535581,50000000,0.0
GAME,0,4.3,165888,5000000,0.0
GAME,0,4.1,29798,1000000,0.0
SPORTS,1,4.5,14184910,100000000,0.0
SPORTS,1,4.4,708710,10000000,0.0
GAME,0,4.6,759838,10000000,0.0
SPORTS,1,4.4,133833,10000000,0.0
SPORTS,1,4.3,12,1000,0.0
SPORTS,1,3.9,26,1000,0.0
GAME,0,4.5,264282,10000000,0.0
SPORTS,1,4.0,11085,1000000,0.0
GAME,0,4.2,3247,500000,0.0
GAME,0,4.3,10486018,500000000,0.0
SPORTS,1,3.7,215,10000,0.0
GAME,0,4.4,2610622,100000000,0.0
SPORTS,1,4.4,33,5000,0.0
GAME,0,4.3,525517,10000000,0.0
GAME,0,4.2,52390,5000000,0.0
GAME,0,4.1,11258,500000,0.0
GAME,0,4.8,549720,10000000,0.0
SPORTS,1,4.4,199739,10000000,0.0
GAME,0,4.5,947515,10000000,0.0
SPORTS,1,2.2,6,100,0.0
SPORTS,1,4.5,126017,5000000,0.0
SPORTS,1,4.6,28951,1000000,0.0
GAME,0,4.6,2698889,100000000,0.0
GAME,0,3.7,38767,5000000,0.0
SPORTS,1,2.8,1189,100000,0.0
SPORTS,1,4.5,501144,10000000,0.0
SPORTS,1,4.1,6808,500000,0.0
SPORTS,1,4.1,111462,5000000,0.0
GAME,0,3.1,440,50000,0.0
GAME,0,4.0,24312,500000,0.0
SPORTS,1,4.0,9971,1000000,0.0
GAME,0,4.0,6386,500000,0.0
GAME,0,4.1,13304,1000000,0.0
SPORTS,1,3.1,3042,500000,0.0
GAME,0,4.6,10979062,100000000,0.0
SPORTS,1,4.5,2710,100000,0.0
GAME,0,4.2,951435,50000000,0.0
SPORTS,1,4.1,3387,50000,29.99
SPORTS,1,3.7,20,1000,0.0
GAME,0,4.1,7728,500000,0.0
SPORTS,1,3.4,5,1000,0.0
SPORTS,1,4.2,82882,5000000,0.0
GAME,0,4.4,13079,500000,0.0
GAME,0,1.0,1,1000,0.0
GAME,0,4.3,194969,10000000,0.0
SPORTS,1,4.6,24094,1000000,0.0
GAME,0,4.6,15829,1000000,0.0
SPORTS,1,2.9,3017,100000,0.0
GAME,0,4.4,1218,500000,0.0
